"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
36,43,1.2171115398626,0.0552311635566712,1.12168777859756,1.1334131567301,1.31610645121655,1.21281071233503,1.31610645121655,1.31610645121655,1.33272475186202,"2020-03-29"
37,44,1.15303665693485,0.0451105696808067,1.07330998235763,1.0844541792292,1.23226329568647,1.14974692268491,1.23226329568647,1.23226329568647,1.24649084679242,"2020-03-30"
38,45,1.07693348467346,0.0364952415253134,1.00964693730241,1.01947192328434,1.13951181902163,1.07538771599149,1.13951181902163,1.13951181902163,1.15173011351873,"2020-03-31"
39,46,1.04364811841865,0.0311513865435183,0.985493114137109,0.994067110553664,1.09634972712805,1.04269817469778,1.09634972712805,1.09634972712805,1.10707233490277,"2020-04-01"
40,47,1.00502827566642,0.0274853910237715,0.952163672996822,0.960494293791901,1.05082261949163,1.00461663829852,1.05082261949163,1.05082261949163,1.05973213572083,"2020-04-02"
41,48,0.958008583127644,0.0252486007437932,0.910217212133494,0.917538858264931,0.999909985007017,0.957681781303749,0.999909985007017,0.999909985007017,1.00818993530453,"2020-04-03"
42,49,0.957608667089905,0.0248965458903765,0.909898684300628,0.917204323606926,0.999634044325104,0.957133309828576,0.999634044325104,0.999634044325104,1.00725680464085,"2020-04-04"
43,50,0.94826490242193,0.0246151095665179,0.901183042687365,0.908308000456273,0.989071394655687,0.947812143066356,0.989071394655687,0.989071394655687,0.997137874957451,"2020-04-05"
44,51,0.950966894637951,0.0246667311331774,0.903068324944946,0.910709552659445,0.992140139113028,0.950685756840648,0.992140139113028,0.992140139113028,1.00004574751468,"2020-04-06"
45,52,0.950754056273943,0.0246035744447799,0.903556167883752,0.910689742317611,0.991802410466681,0.950514059978102,0.991802410466681,0.991802410466681,0.999926068261152,"2020-04-07"
46,53,0.951410680400083,0.0243217544141567,0.904425437160884,0.911665337060981,0.991758615026951,0.951290664193036,0.991758615026951,0.991758615026951,0.999608585248841,"2020-04-08"
47,54,0.933888681687896,0.0239078256946613,0.887497923921979,0.895059961388638,0.973965050812252,0.933575036576138,0.973965050812252,0.973965050812252,0.981746613300995,"2020-04-09"
48,55,0.956725792027826,0.0246137148522544,0.909107561178265,0.916440853868003,0.997334875757594,0.956672007734106,0.997334875757594,0.997334875757594,1.00539553442239,"2020-04-10"
49,56,0.953028291320503,0.0247111415324248,0.904841048077802,0.912342922326102,0.993716882045162,0.952855508700129,0.993716882045162,0.993716882045162,1.00157373949293,"2020-04-11"
50,57,0.942661987077616,0.0245612857585816,0.895212768077601,0.902407595750448,0.983020077303714,0.942421920740735,0.983020077303714,0.983020077303714,0.991597894065594,"2020-04-12"
51,58,0.945502051374737,0.0246221975135875,0.898307487732744,0.905268864568204,0.986240474291778,0.945397011021975,0.986240474291778,0.986240474291778,0.994609287778477,"2020-04-13"
52,59,0.911387198673756,0.0242483636339282,0.864506212179538,0.871917560192081,0.951516767761068,0.911099893101647,0.951516767761068,0.951516767761068,0.958927675103052,"2020-04-14"
53,60,0.90455951293962,0.024724193846072,0.856711986131222,0.864349216197678,0.945582814208063,0.904175605583569,0.945582814208063,0.945582814208063,0.953502848342398,"2020-04-15"
54,61,0.89112821212845,0.0251251997539386,0.842745667786705,0.850488917751835,0.933287311263474,0.890786214559853,0.933287311263474,0.933287311263474,0.941611270116064,"2020-04-16"
55,62,0.866720605406823,0.0258896511207386,0.817278432899484,0.82488131894303,0.910172101272906,0.86632501899478,0.910172101272906,0.910172101272906,0.918242076472676,"2020-04-17"
56,63,0.831135674677881,0.0261431468457399,0.780909278697578,0.788439056038447,0.874799586374583,0.830619377796602,0.874799586374583,0.874799586374583,0.883448059152318,"2020-04-18"
57,64,0.838649699067421,0.027759453209375,0.785482062656786,0.793644956769305,0.884880784137937,0.83835041430121,0.884880784137937,0.884880784137937,0.893269489220209,"2020-04-19"
58,65,0.859318740959879,0.0299927171069375,0.80149016568409,0.809787456113921,0.909218185708296,0.859027477236017,0.909218185708296,0.909218185708296,0.91825959369565,"2020-04-20"
59,66,0.873687501963783,0.030858923510239,0.814045786406439,0.823415695880574,0.924764404437789,0.873621175816358,0.924764404437789,0.924764404437789,0.934525667868365,"2020-04-21"
