"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
56,63,1.15812396864566,0.128521701366171,0.921662932260996,0.956725272271921,1.37904617984533,1.15323301154807,1.37904617984533,1.37904617984533,1.42804410917374,2020-02-29
57,64,1.42850964377668,0.141342120080007,1.16390350206635,1.20442990677795,1.66732498146439,1.42467133150144,1.66732498146439,1.66732498146439,1.71772227443437,2020-03-01
58,65,1.66118724847824,0.150950587129019,1.38263066029806,1.42211935272731,1.91867737573172,1.65687276338836,1.91867737573172,1.91867737573172,1.97002657708659,2020-03-02
59,66,1.95111464658521,0.172467065673008,1.62808550341163,1.67683576999482,2.24142944088349,1.94482358916276,2.24142944088349,2.24142944088349,2.30059959237598,2020-03-03
60,67,1.97439158744029,0.195985846040348,1.61354203916248,1.66810526654964,2.31092833097806,1.96654168641651,2.31092833097806,2.31092833097806,2.37769400370674,2020-03-04
61,68,1.93685672588734,0.213178672204761,1.56199292075247,1.61184478846319,2.30905133333262,1.92214042590025,2.30905133333262,2.30905133333262,2.38217125347923,2020-03-05
62,69,1.98537616923213,0.217485334362489,1.61754513543712,1.66557604400679,2.37425625204326,1.96347961526896,2.37425625204326,2.37425625204326,2.46226778801256,2020-03-06
63,70,1.89081146767182,0.198391549745259,1.55863933188211,1.59874259741528,2.2469946312161,1.87033699841246,2.2469946312161,2.2469946312161,2.32276755170911,2020-03-07
64,71,1.92194558714801,0.192804060622735,1.59714178353923,1.63858394510386,2.26941972765823,1.90354084054248,2.26941972765823,2.26941972765823,2.33384806493284,2020-03-08
65,72,1.9509906929358,0.185272092852532,1.64001011968355,1.67906062958358,2.28384415195713,1.93377297795828,2.28384415195713,2.28384415195713,2.35135952549972,2020-03-09
66,73,2.08179692002695,0.193575326834601,1.75206165532816,1.79348398000831,2.43076226190558,2.06398578670072,2.43076226190558,2.43076226190558,2.49765689076441,2020-03-10
67,74,2.10986085757943,0.200886419440798,1.77296741095904,1.81333518458619,2.46897519202654,2.09178040705299,2.46897519202654,2.46897519202654,2.53645385023614,2020-03-11
68,75,2.19585036034313,0.217471531432027,1.8360763572068,1.8760290904618,2.58635204602819,2.1736000027006,2.58635204602819,2.58635204602819,2.65643759576818,2020-03-12
69,76,2.26400487102206,0.232067491784461,1.88491581226742,1.92653196094268,2.68571996820806,2.23829428989152,2.68571996820806,2.68571996820806,2.76309808105211,2020-03-13
70,77,2.30184304365977,0.243864928665761,1.91058685893852,1.95217074450812,2.75080917512332,2.27461493799145,2.75080917512332,2.75080917512332,2.83218001299152,2020-03-14
71,78,2.37611234573576,0.258528361456504,1.96261565294338,2.00450992656704,2.85533570573292,2.34491234184849,2.85533570573292,2.85533570573292,2.93864264130918,2020-03-15
72,79,2.45869634170347,0.274094138200344,2.02865294367417,2.06863055874927,2.96760021487007,2.42737974002187,2.96760021487007,2.96760021487007,3.05588492745933,2020-03-16
73,80,2.33791092972099,0.26920721323155,1.91307097081775,1.95306600645334,2.84021910730223,2.30486774620226,2.84021910730223,2.84021910730223,2.92924333814565,2020-03-17
74,81,2.16792501573418,0.252088060105073,1.78317452462527,1.81457627468021,2.64358492668576,2.13349993365586,2.64358492668576,2.64358492668576,2.72384188392122,2020-03-18
75,82,2.00373124960919,0.2190520797419,1.67580889675598,1.70461199194564,2.4227863235872,1.97032328208645,2.4227863235872,2.4227863235872,2.49542885040045,2020-03-19
76,83,1.96711494384779,0.193367689650754,1.67885128725291,1.70249863911407,2.3387406039655,1.93884899248367,2.3387406039655,2.3387406039655,2.4037604244721,2020-03-20
77,84,1.83144136958981,0.162860735886941,1.58467162876176,1.60477649144782,2.14097533578092,1.80968863146948,2.14097533578092,2.14097533578092,2.19347228810914,2020-03-21
78,85,1.68098214172055,0.138181969327041,1.46959209605997,1.48675930325683,1.94265828191746,1.66276377504746,1.94265828191746,1.94265828191746,1.98292585936193,2020-03-22
79,86,1.58357479236788,0.117205088376867,1.4049021854469,1.42018727886111,1.80551966710197,1.56861364430101,1.80551966710197,1.80551966710197,1.84244623473843,2020-03-23
80,87,1.45295351889684,0.0939509586949856,1.30756339984209,1.3207333131377,1.63108687745657,1.44058449643174,1.63108687745657,1.63108687745657,1.66066475185055,2020-03-24
81,88,1.3591310572501,0.0759718684179761,1.23928351142701,1.25114169957263,1.5011589265422,1.35022804008197,1.5011589265422,1.5011589265422,1.52623238476435,2020-03-25
82,89,1.28245182749659,0.0602940579313912,1.18413002103897,1.19495220336458,1.39417966099234,1.27574705207743,1.39417966099234,1.39417966099234,1.41451994176019,2020-03-26
83,90,1.20877600501278,0.0475572700671576,1.12905445548594,1.13856621096627,1.29564507230444,1.20443853694904,1.29564507230444,1.29564507230444,1.31200477065277,2020-03-27
84,91,1.10436221047427,0.0368322206755475,1.04076315837142,1.04886756188129,1.16990625476048,1.10170516815432,1.16990625476048,1.16990625476048,1.18326713321573,2020-03-28
85,92,1.04908078136351,0.0293285959842917,0.996602588489517,1.00381566270602,1.09991669229242,1.04756972271622,1.09991669229242,1.09991669229242,1.11070321559157,2020-03-29
86,93,1.02438390083979,0.0242327890545193,0.97957884813833,0.986214035627752,1.06588564199718,1.02334096898472,1.06588564199718,1.06588564199718,1.07447001423384,2020-03-30
87,94,0.970220033575808,0.0204848370769109,0.931889583057769,0.937549444393176,1.00516936343588,0.969376639469789,1.00516936343588,1.00516936343588,1.01204855115424,2020-03-31
88,95,0.981782783416915,0.0192676499207354,0.945600519464903,0.951202355677098,1.01442988368796,0.981075884432901,1.01442988368796,1.01442988368796,1.02106014396476,2020-04-01
89,96,0.974380042779958,0.0185779327510261,0.938797465891742,0.944257345542105,1.00556095336689,0.973997147572334,1.00556095336689,1.00556095336689,1.0113286597374,2020-04-02
90,97,0.965000573886822,0.0175435659000381,0.930771590357377,0.936203379786782,0.994181022294802,0.964993241987069,0.994181022294802,0.994181022294802,0.99935496090913,2020-04-03
91,98,0.966264510400364,0.0171423672228019,0.933348566732035,0.93833143598926,0.994588098799856,0.966179784980358,0.994588098799856,0.994588098799856,1.00050198512049,2020-04-04
